,Frequency
Winter Simulation Conference WSC,24
ACM Computing Surveys,18
ACM IEEE International Conference on Model Driven Engineering Languages and Systems MODELS C,10
IEEE Access,8
Remote Sensing,7
International Symposium on Computer Science and Intelligent Control ISCSIC,4
ACM Comput Surv,3
Geoderma,3
Ecological Indicators,2
Scientific Reports,2
Proceedings of the ACM IEEE International Conference on Model Driven Engineering Languages and Systems,2
Ecological Informatics,2
International Conference on Computer Modeling and Simulation ICCMS,2
IEEE International Conference on Enabling Technologies Infrastructure for Collaborative Enterprises WETICE,2
IEEE ACM Symposium on Software Engineering for Adaptive and Self Managing Systems SEAMS,2
ACM International Conference on Future Energy Systems e Energy,2
IEEE International Conference on Industrial Engineering and Engineering Management IEEM,2
Astronomy and Astrophysics,2
Proceedings of the ACM on Interactive Mobile Wearable and Ubiquitous Technologies,2
Asian Conference on Remote Sensing ACRS,2
Journal of Space Safety Engineering,2
Science of the Total Environment,2
ACM Transactions on Internet of Things,2
Journal of Hydrology,2
International Conference on Availability Reliability and Security ARES,2
Congress of the International Society for Photogrammetry and Remote Sensing ISPRS,2
ISPRS International Journal of Geo Information,2
ACM Trans Intell Syst Technol,2
Ocean Engineering,2
Transportation Research Record,2
IEEE Transactions on Intelligent Transportation Systems,2
International Journal of Applied Earth Observation and Geoinformation,2
ASME International Mechanical Engineering Congress and Exposition IMECE,2
IEEE International Conference on Fuzzy Systems FUZZ,1
International Conference on MultiMedia Modeling MMM,1
Frontiers in Energy Research,1
International Transactions on Electrical Energy Systems,1
IEEE Central America and Panama Convention CONCAPAN,1
IEEE Aerospace Conference AERO,1
IEEE International Symposium on Systems Engineering ISSE,1
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,1
International Conference on Information and Digital Technologies IDT,1
IEEE Transactions on Intelligent Vehicles,1
International Conference on Intelligent Human Computer Interaction IHCI,1
American Journal of Dermatopathology,1
International Conference on AI and Metaverse in Supply Chain Management AIMSCM,1
Research in Adaptive and Convergent Systems RACS,1
International Symposium of Chinese CHI Chinese CHI,1
ACM IEEE International Conference on Cyber Physical Systems ICCPS part of CPS IoT Week,1
Structure and Infrastructure Engineering,1
ACM Trans Multimedia Comput Commun Appl,1
Nature,1
Powder Technology,1
Digital Health,1
Nutrients,1
Astrophysical Journal,1
Energies,1
Water Air and Soil Pollution,1
Invasive Plant Science and Management,1
Detection and Sensing of Mines Explosive Objects and Obscured Targets XV,1
Journal of Geophysical Research Oceans,1
Systems,1
Artificial Intelligence in Medicine,1
BMJ Open,1
The Lancet,1
BMC Medicine,1
The Lancet HIV,1
Environmental Modelling and Software,1
Frontiers in Ecology and Evolution,1
BJOG An International Journal of Obstetrics and Gynaecology,1
KSCE Journal of Civil Engineering,1
Geoscience Frontiers,1
IEEE ACM International Workshop on Software Engineering for Smart Cyber Physical Systems SEsCPS,1
ACM Workshop on Secure and Trustworthy Cyber Physical Systems SaT CPS,1
ACM Transactions on Modeling and Computer Simulation,1
International Conference on Education and E Learning ICEEL,1
ACM Transactions on Sensor Networks,1
ACM Transactions on Computing for Healthcare,1
ACM Transactions on Management Information Systems,1
International Conference on Machine Learning and Computer Application ICMLCA,1
ACM Transactions on Cyber Physical Systems,1
ACM Transactions on Software Engineering and Methodology,1
Summer Computer Simulation Conference SCSC Held at the Summer Simulation Multi Conference SummerSim,1
CHI Conference on Human Factors in Computing Sytems CHI,1
International Conference on Robotics and Artificial Intelligence ICRAI,1
IEEE ACM Transactions on Networking,1
ACM Designing Interactive Systems Conference Nowhere and Everywhere DIS,1
International Conference on Artificial Intelligence Robotics and Control AIRC,1
Workshop on Data Management for End To End Machine Learning DEEM In conjunction with the ACM SIGMOD PODS Conference,1
International Scientific Conference on Innovations in Digital Economy SPBPU IDE,1
International Conference on Subject Oriented Business Process Management S BPM ONE,1
International Conference for High Performance Computing Networking Storage and Analysis Science and Beyond SC,1
ITESS PROCEEDINGS OF INFORMATION TECHNOLOGY AND ENVIRONMENTAL SYSTEM SCIENCES PT,1
JOURNAL OF APPLIED METEOROLOGY,1
IEEE Open Journal of Systems Engineering,1
International Conference on Embedded Software EMSOFT,1
Oceans MTS IEEE Techno Ocean IEEE Cat No,1
Proceedings of the Winter Simulation Conference,1
Brazilian Symposium on Software Engineering SBES,1
Innovations in Software Engineering Conference ISEC,1
International Conference on Networking Intelligent Systems and Security NISS,1
Asia Pacific Symposium on Internetware Internetware,1
International Conference on Cloud and Big Data Computing ICCBDC,1
International Academic Mindtrek Conference Academic Mindtrek,1
ACM Trans Internet Technol,1
International Conference on Internet of Things Automation and Artificial Intelligence IoTAAI,1
Computers in Industry,1
International Conference on Innovation in Artificial Intelligence ICIAI,1
Australasian Computer Science Week ACSW,1
ACM International Conference on Systems for Energy Efficient Buildings Cities and Transportation BuildSys,1
ACM IEEE International Conference on Internet of Things Design and Implementation IoTDI,1
ACM Transactions on Internet Technology,1
ACM IEEE International Conference on Software Engineering New Ideas and Emerging Results ICSE NIER,1
European Conference on Software Architecture ECSA,1
International Conference on Medical and Health Informatics ICMHI,1
ACM SIGPLAN International Symposium on New Ideas New Paradigms and Reflections on Programming and Software Onward co located with SPLASH,1
International Conference on Content based Multimedia Indexing CBMI,1
International Workshop on Big Data in Emergent Distributed Environments BiDEDE In conjunction with the ACM SIGMOD PODS Conference,1
International Conference on AI Engineering Software Engineering for AI CAIN,1
Proceedings of the ACM SIGPLAN International Conference on Generative Programming Concepts and Experiences,1
International Conference on Autonomous Agents and Multiagent Systems AAMAS,1
International Database Engineered Applications Symposium IDEAS,1
European Conference on Pattern Languages of Programs EuroPLoP,1
ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering ESEC FSE,1
IEEE ACM Transactions on Computational Biology and Bioinformatics,1
International Conference on Information Science and System ICISS,1
International CIPA Symposium,1
International Symposium on Electronic Commerce ISEC held in conjunction with International Workshop on the Technological Challenges of Electronic Commerce,1
Symposium of the International Association of Vehicle System Dynamics IAVSD,1
IEEE Journal of Oceanic Engineering,1
Chinese Journal of Radiological Medicine and Protection,1
Current medical imaging,1
Journal of Silk,1
BMC Public Health,1
Dermatology,1
Journal of Flood Risk Management,1
Journal of Manufacturing and Materials Processing,1
Sensors,1
CIRP International Conference on Manufacturing Systems CIRP CMS,1
BMC Geriatrics,1
Environmental Footprints and Eco Design of Products and Processes,1
International Conference on Applied Technologies ICAT,1
International Conference on Computing in Civil and Building Engineering ICCCBE,1
IEEE International Conference of Moroccan Geomatics MORGEO,1
Journal of Rural Studies,1
International Conference on Software Technology Methods and Tools TOOLS,1
Journal of Automotive Safety and Energy,1
Chuan Bo Li Xue Journal of Ship Mechanics,1
International journal of online and biomedical engineering,1
Annals of Operations Research,1
IEEE International Conference on Industrial Technology ICIT,1
Applied Soft Computing Journal,1
International Conference on Computer Remote Sensing and Aerospace CRSA,1
ASME International Conference on Ocean Offshore and Arctic Engineering OMAE,1
Cognitive Computation,1
Land Use Policy,1
Processes,1
European Conference on Power Electronics and Applications EPE ECCE Europe,1
Annual Reliability and Maintainability Symposium RAMS,1
IEEE Transactions on Power Electronics,1
