,Word,Freq
0,close,1
1,development,5
2,effective,1
3,important,1
4,modules,1
5,needs,1
6,process,1
7,production,3
8,systems,1
9,underlying,2
10,analyze,1
11,challenges,1
12,engineering,2
13,experiments,3
14,including,1
15,application,1
16,design,1
17,role,1
18,able,1
19,analytics,1
20,building,1
21,communication,1
22,concept,10
23,evolving,1
24,governance,1
25,making,1
26,organization,2
27,reported,2
28,representation,1
29,sharing,1
30,successful,1
31,bring,1
32,central,1
33,major,1
34,offer,1
35,recently,1
36,companies,2
37,considered,1
38,teams,1
39,adoption,1
40,primary,1
41,software,5
42,wide,1
43,long,1
44,non,1
45,user,2
46,group,1
47,shape,1
48,data_analytics,1
49,explicit,1
50,play,1
51,response,1
52,internal,1
53,code,1
54,aligned,1
55,recognized,1
56,concrete,1
57,date,2
58,clustering,1
59,artifacts,1
60,instead,1
