,Word,Freq
0,challenges,1
1,comprehensive,1
2,comprehensive_survey,1
3,directions,1
4,discussed,1
5,employed,1
6,field,1
7,future,1
8,including,1
9,learning,2
10,opportunities,1
11,optimize,3
12,performance,3
13,prediction,1
14,presents,1
15,survey,3
16,techniques,2
17,type,1
18,enabling,1
19,framework,1
20,integrated,1
21,issues,2
22,open,1
23,practices,1
24,article,1
25,control,1
26,intelligent,3
27,software,1
28,support,1
29,provides,2
30,design,1
31,different,1
32,environment,2
33,focus,1
34,virtual,1
35,generally,1
36,emerging,2
37,limitations,1
38,solutions,1
39,defined,1
40,promising,1
41,requirements,1
42,explores,1
