Title,EID
An MBSE-based approach for the analysis of requirements towards engineering IT architectures,85119090950
A historical perspective of mbse with a view to the future,84879312230
A bibliometric analysis of certain information science literature,84982026275
Ascertaining activities in a subject area through bibliometric analysis. Application to library literature,15604842
A bibiliometric analysis of the journal of infection and public health: 2008-2016,85040623827
A bibliometric analysis of research on multiple criteria decision making,85042221511
Fifty years of the european journal of marketing: A bibliometric analysis,85042384889
Business intelligence and analytics: From big data to big impact,84916597404
Comprehensive analysis of the relationship between thermal comfort and building control research-A data-driven literature review,85038817541
Bibliometric analyses reveal patterns of collaboration between asms members,85042877232
A bibliometric history of the journalgenetics,85006062592
Tourism gender research: A critical accounting,84925265292
Description of systems engineering methodologies and comparison of information representations,84973805211
Toward the tools selection in model based system engineering for embedded systems-A systematic literature review,84930792473
Towards model-based specification and safety assurance of nuclear i&c systems: Applicability of sysml and aadl,85071027139
Model management tools for models of different domains: A systematic literature review,85073149764
System of systems modelling: Recent work review and a path forward,85103824540
Mbse applicability analysis in Chinese industry,85119094099
Systematic literature review of system models for technical system development,85103843237
Value and benefits of model-based systems engineering (mbse): Evidence from the literature,85098450048
Detecting task functional mri activation using the multiband multiecho (mbme) echo-planar imaging (epi) sequence,85096664383
A method based on multiscale base-scale entropy and random forests for roller bearings faults diagnosis,85042266616
"Software survey: Vosviewer, a computer program for bibliometric mapping",77953711904
Ontology for systems engineering as a base for mbse,84968442237
A model-driven approach to enable the simulation of complex systems on distributed architectures,85062333445
Model-based interoperability engineering in systems-of-systems and civil aviation,85025169631
Representing adaptation options in experimentable digital twins of production systems,85064719396
Model-based systemic hazard analysis approach for connected and autonomous vehicles and case study application in automatic emergency braking system,85103185979
