Title,EID
A case for integrated data processing in large-scale cyber-physical systems,85108268408
A compositional framework for systematic modeling language reuse,85096955321
A conceptual model for digital shadows in industry and its application,85118142665
A digital twin for production planning based on cyber-physical systems: A case study for a cyber-physical system-based creation of a digital twin,85065427421
A framework for explainable concept drift detection in process mining,85115178805
A knowledge-based digital shadow for machining industry in a digital twin perspective,85089084575
A novel digital twin-centric approach for driver intention prediction and traffic congestion avoidance,85062692056
A standalone webassembly development environment for the internet of things,85111153954
"A state-of-the-art survey of digital twin: Techniques, engineering product lifecycle management and business innovation perspectives",85075384583
A survey of automated web service composition methods,24144441759
"A survey on digital twin: Definitions, characteristics, applications, and design implications",85076680404
Adapting golog for composition of semantic web services,11491265
"Additive manufacturing: Scientific and technological challenges, market uptake and opportunities",85026328884
An analytical study on service-oriented manufacturing strategies,84863193933
"APICS Dictionary, (16th ed.)",85127446194
"Automation bias: A systematic review of frequency, effect mediators, and mitigators",84856788472
Blockchain-based privacy preservation for supply chains supporting lightweight multi-hop information accountability,85100453781
Building machines that learn and think like people,84996868095
Challenges in automotive software engineering,34247127701
Characterising the digital twin: A systematic literature review,85081219520
Cloud manufacturing as a sustainable process manufacturing route,85044438129
Cloudmanufacturing: A service-oriented manufacturing paradigm. A review paper,85055765852
Comparative process mining in education: An approach based on process cubes,84923646652
"Compositional language engineering using generated, extensible, static type-safe visitors",84977498652
Concern-oriented language development: Fostering reuse in language engineering,85048276792
Continuous requirementsmanagement for organisation networks: A (dis) trust-based approach,26944484554
Continuous transition from model-driven prototype to full-size real-world enterprise information systems,85096970269
Current research and future perspectives on human factors and ergonomics in industry 4. 0,85070389767
Data sovereignty and the internet of production,85086271667
Dataflow challenges in an Internet of Production: A Security & Privacy Perspective,85075014511
Delegation of moral tasks to automated agents-The impact of risk and context on trusting a machine to perform a task,85127402053
Deploying fog computing in industrial internet of things and industry 4. 0,85049803971
Designing a multi-sided data platform: Findings from the international data spaces case,85072032697
Detecting out-of-control sensor signals in sheet metal forming using in-network computing,85118771899
Development of manufacturing execution systems in accordance with industry 4. 0 requirements: A review of standard-and ontologybased methodologies and tools,85090014332
Digital industrial platforms,85102357369
Digital manufacturing tools in the simulation of collaborative robots: Towards industry 4. 0,85085079406
Digital twin in industry: State-of-the-art,85054374767
"Digital twin in the IoT context: A survey on technical features, scenarios, and architectural models",85087488936
Digital twins in health care: Ethical implications of an emerging engineering paradigm,85042098524
Distributed persistent identifiers system design,85017314341
Domain specific models as system links,85055442265
Domain-specific language for sensors in the internet of production,85165962517
Dynamic strategic modeling for alliancedriven data platforms: The case of smart farming,85111368514
Easing the conscience with OPC UA: An internet-wide study on insecure deployments,85097285990
Edge cloud as an enabler for distributed AI in industrial IoT applications: The experience of the IoTwins project,85075928612
Effizientere produktion mit digitalen schatten,85087124263
Enabling industry 4. 0 service-oriented architecture through digital twins,85091500311
Enabling the electric future ofmobility: Robotic automation for electric vehicle battery assembly,85078407099
"Explainable artificial intelligence: Concepts, taxonomies, opportunities and challenges toward responsible AI",85077515399
EXPRESS to OWL for construction industry: Towards a recommendable and usable ifcOWL ontology,84952362213
FactDAG: Formalizing data interoperability in an internet of production,85083740453
Four responsibility gaps with artificial intelligence: Why they matter and how to address them,85105933604
From cloud computing to cloud manufacturing,80052032966
From here to autonomy: Lessons learned from human-automation research,85011629132
Goal-oriented modelling of relations and dependencies in data marketplaces,85049320311
Holarchy for line-less mobile assembly systems operation in the context of the internet of production,85106412122
How context and design shape human-robot trust and attributions,85097184876
"Human behavior, goals and model-driven software engineering for assistive systems",85094179134
Human digital shadow: Data-based modeling of users and usage in the internet of production,85116036344
