Title,EID
Design and development of a cloud based cyber-physical architecture for the internet-of-things,84969627262
The modelling and operations for the digital twin in the context of manufacturing,85071860577
A microservice-based middleware for the digital factory,85029892628
Modeling the self-discharge by voltage decay of a nmc/ graphite lithium-ion cell,85050295357
Defining a digital twin-based cyber-physical production system for autonomous manufacturing in smart shop floors,85060183300
Modeling of cloud-based digital twins for smart manufacturing with mt connect,85052894576
Cyber-physical systems design for electric vehicles,84872981461
Architecture of a digital twin for enabling digital services for battery systems,85070853718
Cyber-physical systems in manufacturing,84990841502
Mqtt-v3. 1. 1-specification,85086429855
From simulation to experimentable digital twins,85006371785
Digital twin data modeling with automationml and a communication methodology for data exchange,85006391498
Data-centric middleware based digital twin platform for dependable cyber-physical systems,85028079218
