Title,EID
25 years ago I coined the phrase “triple bottom line”. Here’s why it’s time to rethink it,85061957773
A digital-twin evaluation of net zero energy building for existing buildings,85059346336
A framework of data modeling and artificial intelligence for environmental-friendly energy system: Application of Kalina cycle improved with fuel cell and thermoelectric module,85132765759
About the importance of autonomy and digital twins for the future of manufacturing,84953861813
Artificial intelligence assisted technoeconomic optimization scenarios of hybrid energy systems for water management of an isolated community,85115424775
Bullshit in the sustainability and transitions literature: A provocation,85171300560
"Careers in print: Books, journals, and scholarly reputations",84937286683
Construction with digital twin information systems,85106009736
Digital technologies in built environment projects: Review and future directions,85124262048
Digital twin and big data towards smart manufacturing and industry 4.0: 360 degree comparison,85041173790
Digital twin as enabler for an innovative digital shopfloor management system in the ESB logistics learning factory at Reutlingen-University,85020859111
Digital twin for accelerating sustainability in positive energy district: A review of simulation tools and applications,85115005557
Digital twin for sustainability evaluation of railway station buildings,85064666442
Digital twin: Manufacturing excellence through virtual factory replication,84944689700
Digital twins,85053693787
Digital twins: The convergence of multimedia technologies,85051272175
Gemini principles,85068694049
Greenhouse industry 4.0–digital twin technology for commercial greenhouses,85115602271
Human digital twin for fitness management,85081154665
Imagining construction’s digital future. Capital Projects and Infrastructure,85046129011
Leveraging digital twin technology in model-based systems engineering,85111581098
Machine learning-based digital twin for predictive modeling in wind turbines,85124066585
"Modeling, simulation, information technology & processing roadmap",84885413599
Potential reconstruction design of an existing townhouse in Washington DC for approaching net zero energy building goal,85082879525
Reengineering aircraft structural life prediction using a digital twin,84855216556
Shades of grey: Guidelines for working with the grey literature in systematic reviews for management and organizational studies,84964407503
Shaping the digital twin for design and production engineering,85018723536
The ‘Digital Twin’to enable the vision of precision cardiology,85099325483
The ‘how’ of benefits management for digital technology: From engineering to asset management,85070680411
"The resources, exer-getic and environmental footprint of the silicon photovoltaic circular economy: Assessment and opportunities",85101849281
Towards a methodology for developing evidence-informed management knowledge by means of systematic review,141888108
Towards next generation cyber-physical systems and digital twins for construction,85112133397
Understanding systematic reviews and meta-analysis,23144445021
