Title,EID
A blueprint for system-level performance modeling of software-intensive embedded systems,85027957685
A brief account of runtime verification,67349182373
A framework for scheduler synthesis,33337591
A markovian decision process,1700171
A survey and comparative study of hard and soft real-time dynamic resource allocation strategies for multi-/many-core systems,85017465854
A survey of timing verification techniques for multi-core real-time systems,85068038532
An approach for quantitative analysis of application-specific dataflow architectures,30679033
An empirical survey-based study into industry practice in real-time systems,85101615395
Architecting principles for systems-of-systems,85045953475
Benefits and challenges for platform-based design,4444384253
Big data for cyber physical systems in industry 4.0: A survey,85042909694
Calibration error bound estimation in performance modeling,84890087572
Calibration of abstract performance models for system-level design space exploration,46349106914
Checking metric temporal logic with trace,85014968068
Compositional specification of functionality and timing of manufacturing systems,85050139440
Decision support methodology for evolutionary embedded system design,85081093306
Digital twin in industry: State-of-the-art,85054374767
"Digital twin-driven product design, manufacturing and service with big data",85015707925
Driven by data or derived through physics? A review of hybrid physics guided machine learning techniques with cyber-physical system (cps) focus,85084262660
Dynamic modeling of the tradeoff between productivity and safety in critical engineering systems,4344630824
Exploring exploration: A tutorial introduction to embedded systems design space exploration,85010008204
Improving model inference in industry by combining active and passive learning,85064164636
Interface modeling for quality and resource management,85198830744
Knowledge-driven versus data-driven logics,37652855
Lsat: Specification and analysis of product logistics in flexible manufacturing systems,85116981387
Max-plus algebra and max-plus linear discrete-event systems: An introduction,53149111136
Measuring execution time and real-time performance,27544504309
Methods for evaluating and covering the design space during early design development,9644281035
Mining traces of embedded software systems for insights,85117442497
Model learning,85010790123
Model-based diagnosis for cyber-physical production systems based on machine learning and residual-based diagnosis models,85074197869
Model-based engineering in the embedded systems domain: An industrial survey on the state-of-practice,84962207101
Model-driven performance prediction of systems of systems,84979255879
Modeling cyber-physical systems,84155172767
Modelplex: Verified runtime validation of verified cyber-physical system models,84994027707
On methods and tools for rigorous system design,85108822937
On the systematic use of budget-based design,84878789010
Online scheduling,85035344127
Online scheduling of 2-re-entrant flexible manufacturing systems,85030675121
Performance and security tradeoff,79956269815
Performance engineering for industrial embedded data-processing systems,84952333153
Performance evaluation with temporal rewards,6444245483
Performance guarantees for scheduling algorithms,17925568
Privacy and performance trade-off in cyber-physical systems,84963979555
Set-based design: The state-of-practice and research opportunities,85087382640
Simulation in the design and operation of manufacturing systems: State of the art and new trends,85068546250
Software passports for automated performance anomaly detection of cyber-physical systems,85071500236
Software performance antipatterns in cyber-physical systems,85085954136
Software/hardware engineering with the parallel object-oriented specification language,34548816459
Statecharts: A visual formalism for complex systems,23365727
Supervisory control of a class of discrete event processes,23104549
The concept of reference architectures,74549119498
The evolution of software performance engineering: A survey,22904282
The relationship of system engineering to the project cycle,1842637817
The synthesis of time optimal supervisors by using heaps-of-pieces,84855415365
Total productive maintenance: Literature review and directions,49149086860
Towards a model-integrated runtime monitoring infrastructure for cyber-physical systems,85115603171
Towards automated analysis of model-driven artifacts in industry,85052019108
Uppaal 4.0,36148931085
Value and benefits of model-based systems engineering (mbse): Evidence from the literature,85098450048
Y-chart based system design: A discussion on approaches,80055022911
