Snowballing,Snowballed Paper,Title,DOI
Forward,A Bibliometric Analysis on Model-based Systems Engineering,Early Validation and Verification of System Behaviour in Model-based Systems Engineering: A Systematic Literature Review,10.1145/3631976
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,Construction 4.0 in a narrow and broad sense: A systematic and comprehensive literature review,10.1016/j.buildenv.2023.110788
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,"Digital Twin and 3D Digital Twin: Concepts, Applications, and Challenges in Industry 4.0 for Digital Twin",10.3390/computers13040100
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,Digital Twin for Fault Detection and Diagnosis of Building Operations: A Systematic Review,10.3390/buildings13061426
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,Digital twin technology for thermal comfort and energy efficiency in buildings: A state-of-the-art and future directions,10.1016/j.enbenv.2023.05.004
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,"Digital Twin Technology in Built Environment: A Review of Applications, Capabilities and Challenges",10.3390/smartcities7050101
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,Digital Twin-Enabled Infrastructures: A Bibliometric Analysis-Based Review,10.1061/JITSE4.ISENG-2323
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,Geometric parameter updating in digital twin of built assets: A systematic literature review,10.1016/j.jobe.2023.106704
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,How the Convergence of Information Technology and Operational Technology Enables Digital Twin in Construction Industry: A Systematic Review,10.1109/ICECET61485.2024.10698251
Forward,A REVIEW OF DIGITAL TWIN APPLICATIONS IN CONSTRUCTION,"Internet of Things (IoT), Building Information Modeling (BIM), and Digital Twin (DT) in Construction Industry: A Review, Bibliometric, and Network Analysis",10.3390/buildings12101503
