,Frequency
IEEE Access,4
International Symposium on Computer Science and Intelligent Control ISCSIC,2
ACM Computing Surveys,2
Buildings,1
Proceedings of the IEEE,1
European Heart Journal,1
Applied Sciences Switzerland,1
Sensors,1
International Conference on ICT for Smart Society ICISS,1
Software and Systems Modeling,1
ACM IEEE International Conference on Model Driven Engineering Languages and Systems MODELS,1
Journal of Intelligent Manufacturing,1
CIRP Journal of Manufacturing Science and Technology,1
ACM SIGBED International Conference on Embedded Software EMSOFT held as part of the Embedded Systems Week ESWEEK,1
IEEE International Symposium on Systems Engineering ISSE,1
ACM Transactions on Internet of Things,1
Journal of Information Technology in Construction,1
International Conference on Computing in Civil and Building Engineering ICCCBE,1
IEEE International Conference on Software Architecture ICSA,1
